-39.26	104.680000
-50.69	104.680464
-41.36	104.680928
-40.87	104.681392
-42.29	104.681855
-53.99	104.682319
-53.79	104.682783
-49.33	104.683247
-48.01	104.683711
-37.64	104.684175
-48.10	104.684639
-37.94	104.685103
-47.31	104.685566
-40.26	104.686030
-48.71	104.686494
-45.05	104.686958
-46.68	104.687422
-42.88	104.687886
-43.74	104.688350
-55.70	104.688813
-51.68	104.689277
-40.49	104.689741
-47.80	104.690205
-42.51	104.690669
-48.54	104.691133
-37.36	104.691597
-47.78	104.692061
-43.14	104.692524
-36.65	104.692988
-40.46	104.693452
-49.01	104.693916
-45.54	104.694380
-45.86	104.694844
-43.78	104.695308
-49.78	104.695771
-47.94	104.696235
-50.17	104.696699
-48.10	104.697163
-45.32	104.697627
-47.98	104.698091
-43.59	104.698555
-42.44	104.699019
-49.23	104.699482
-48.85	104.699946
-55.15	104.700410
-48.32	104.700874
-44.47	104.701338
-53.67	104.701802
-49.33	104.702266
-44.83	104.702729
-43.83	104.703193
-49.74	104.703657
-46.72	104.704121
-52.54	104.704585
-52.96	104.705049
-56.13	104.705513
-53.61	104.705977
-46.61	104.706440
-46.77	104.706904
-44.58	104.707368
-47.59	104.707832
-55.91	104.708296
-57.19	104.708760
-55.07	104.709224
-49.42	104.709688
-48.85	104.710151
-43.74	104.710615
-53.22	104.711079
-48.06	104.711543
-48.03	104.712007
-47.12	104.712471
-51.80	104.712935
-52.11	104.713398
-50.47	104.713862
-66.08	104.714326
-47.09	104.714790
-54.35	104.715254
-49.55	104.715718
-58.65	104.716182
-54.12	104.716646
-57.89	104.717109
-50.21	104.717573
-60.66	104.718037
-61.36	104.718501
-56.01	104.718965
-56.32	104.719429
-64.88	104.719893
-64.02	104.720356
-52.79	104.720820
-53.25	104.721284
-54.28	104.721748
-69.17	104.722212
-63.48	104.722676
-54.69	104.723140
-55.29	104.723604
-60.61	104.724067
-73.32	104.724531
-55.73	104.724995
-54.89	104.725459
-58.40	104.725923
-59.23	104.726387
-65.93	104.726851
-80.77	104.727314
-60.46	104.727778
-64.59	104.728242
-58.48	104.728706
-54.02	104.729170
-67.13	104.729634
-65.03	104.730098
-63.28	104.730562
-55.60	104.731025
-60.74	104.731489
-56.16	104.731953
-66.65	104.732417
-67.64	104.732881
-80.77	104.733345
-57.63	104.733809
-69.66	104.734272
-68.00	104.734736
-60.13	104.735200
-58.24	104.735664
-61.27	104.736128
-61.71	104.736592
-63.07	104.737056
-64.79	104.737520
-59.75	104.737983
-70.31	104.738447
-57.76	104.738911
-59.22	104.739375
-63.83	104.739839
-59.75	104.740303
-62.56	104.740767
-58.87	104.741230
-62.14	104.741694
-62.76	104.742158
-56.87	104.742622
